method	algorithm	distance	feature_selection	k	stretch	delta_auc	p_val	cox_anova_pval	cox_anova_chisq	cluster.size	noisen	diameter	average.distance	median.distance	average.between	average.within	within.cluster.ss	clus.avg.silwidths	avg_sil	dunn	dunn2	entropy	wb.ratio	cluster_size_min	cluster_size_max	all_equal	cluster_qual	rank
hc_pearson_8	hc	pearson	dip_test	8	48	0.17	7.83e-02	NA	NA	1403, 2, 3, 2, 17, 8, 1, 1	0	1.11, 0.71, 0.72, 0.79, 0.91, 0.88, NA, NA	0.7, 0.71, 0.69, 0.79, 0.71, 0.72, NaN, NaN	0.7, 0.71, 0.71, 0.79, 0.72, 0.74, NA, NA	0.82	0.7	353.87	0.07, 0.15, 0.13, 0.03, 0.1, 0.11, 0, 0	0.07	0.41	1.02	0.15	0.85	NA	NA	0e+00	51.41	96
pam_euclidean_8	pam	euclidean	dip_test	8	40	0.02	2.81e-01	NA	NA	165, 158, 425, 150, 143, 121, 186, 89	0	0.85, 1.06, 1, 0.97, 0.86, 0.87, 0.86, 0.86	0.57, 0.78, 0.65, 0.67, 0.57, 0.59, 0.59, 0.58	0.57, 0.78, 0.65, 0.67, 0.57, 0.59, 0.59, 0.58	0.71	0.63	292.64	0.02, -0.08, -0.01, -0.05, 0.02, 0.03, 0.08, 0.12	0.02	0.23	0.75	1.96	0.88	NA	NA	7.16e-86	51.36	97
pam_minkowski_8	pam	minkowski	dip_test	8	40	0.02	2.81e-01	NA	NA	165, 158, 425, 150, 143, 121, 186, 89	0	0.85, 1.06, 1, 0.97, 0.86, 0.87, 0.86, 0.86	0.57, 0.78, 0.65, 0.67, 0.57, 0.59, 0.59, 0.58	0.57, 0.78, 0.65, 0.67, 0.57, 0.59, 0.59, 0.58	0.71	0.63	292.64	0.02, -0.08, -0.01, -0.05, 0.02, 0.03, 0.08, 0.12	0.02	0.23	0.75	1.96	0.88	NA	NA	7.16e-86	51.36	97
pam_manhattan_5	pam	manhattan	dip_test	5	38	0.07	5.41e-02	NA	NA	341, 645, 161, 190, 100	0	0.88, 1.06, 0.91, 0.9, 0.87	0.58, 0.71, 0.64, 0.6, 0.59	0.58, 0.71, 0.64, 0.6, 0.59	0.72	0.65	306.6	0.08, -0.05, -0.02, 0.11, 0.13	0.05	0.28	0.9	1.4	0.9	NA	NA	9.13e-143	51.29	99
hc_spearman_10	hc	spearman	dip_test	10	48	0.18	6.3e-03	NA	NA	1397, 11, 1, 2, 16, 1, 3, 1, 4, 1	0	1.11, 0.74, NA, 0.71, 0.9, NA, 0.73, NA, 0.75, NA	0.7, 0.58, NaN, 0.71, 0.7, NaN, 0.7, NaN, 0.62, NaN	0.7, 0.57, NA, 0.71, 0.71, NA, 0.71, NA, 0.61, NA	0.79	0.7	352.5	0.02, 0.22, 0, 0.1, 0.08, 0, 0.08, 0, 0.2, 0	0.07	0.41	1.06	0.17	0.88	NA	NA	0e+00	51.19	100
pam_manhattan_10	pam	manhattan	dip_test	10	37	0.03	3.67e-01	NA	NA	180, 165, 129, 118, 336, 98, 125, 70, 69, 147	0	0.85, 1.06, 0.97, 0.84, 1, 0.86, 0.88, 0.86, 0.85, 0.82	0.57, 0.78, 0.66, 0.55, 0.66, 0.56, 0.6, 0.59, 0.55, 0.55	0.57, 0.79, 0.66, 0.55, 0.66, 0.56, 0.6, 0.59, 0.55, 0.56	0.71	0.62	285.2	0.01, -0.09, -0.05, 0.04, -0.05, 0.07, 0.02, 0.05, 0.15, 0.1	0.02	0.25	0.74	2.19	0.87	NA	NA	4.5e-74	50.99	101
pam_spearman_8	pam	spearman	dip_test	8	37	0.02	9.06e-01	NA	NA	145, 101, 200, 227, 141, 76, 449, 98	0	0.93, 0.98, 0.98, 0.89, 0.89, 1.01, 0.98, 0.89	0.63, 0.62, 0.62, 0.57, 0.59, 0.72, 0.62, 0.59	0.63, 0.61, 0.62, 0.57, 0.59, 0.72, 0.63, 0.59	0.72	0.61	276.1	0.05, 0.12, 0.01, 0.07, 0.04, -0.04, 0.07, 0.12	0.05	0.29	0.86	1.91	0.85	NA	NA	8.17e-118	50.94	102
hc_pearson_15	hc	pearson	dip_test	15	29	0.26	1.58e-02	NA	NA	814, 2, 584, 4, 3, 1, 12, 3, 4, 1, 2, 1, 4, 1, 1	0	1, 0.71, 0.96, 0.71, 0.72, NA, 0.84, 0.79, 0.75, NA, 0.71, NA, 0.75, NA, NA	0.66, 0.71, 0.64, 0.6, 0.69, NaN, 0.65, 0.66, 0.67, NaN, 0.71, NaN, 0.62, NaN, NaN	0.67, 0.71, 0.64, 0.57, 0.71, NA, 0.64, 0.63, 0.66, NA, 0.71, NA, 0.61, NA, NA	0.75	0.65	308.1	0.05, 0.14, 0.09, 0.17, 0.09, 0, 0.11, 0.11, 0.04, 0, 0.04, 0, 0.18, 0, 0	0.07	0.38	1.05	0.85	0.87	NA	NA	0e+00	50.62	103
hc_euclidean_5	hc	euclidean	dip_test	5	49	0.27	6.3e-03	NA	NA	1426, 3, 3, 1, 4	0	1.11, 0.61, 0.56, NA, 0.7	0.7, 0.59, 0.54, NaN, 0.6	0.71, 0.59, 0.55, NA, 0.6	0.75	0.7	358.89	-0.02, 0.1, 0.19, 0, 0.15	0.08	0.37	0.94	0.05	0.93	NA	NA	0e+00	50.58	104
hc_minkowski_5	hc	minkowski	dip_test	5	49	0.27	6.3e-03	NA	NA	1426, 3, 3, 1, 4	0	1.11, 0.61, 0.56, NA, 0.7	0.7, 0.59, 0.54, NaN, 0.6	0.71, 0.59, 0.55, NA, 0.6	0.75	0.7	358.89	-0.02, 0.1, 0.19, 0, 0.15	0.08	0.37	0.94	0.05	0.93	NA	NA	0e+00	50.58	104
hc_binary_7	hc	binary	dip_test	7	47	0.12	3.67e-01	NA	NA	1416, 5, 5, 2, 1, 6, 2	0	1.11, 0.79, 0.87, 0.71, NA, 0.84, 0.57	0.7, 0.69, 0.69, 0.71, NaN, 0.68, 0.57	0.7, 0.69, 0.67, 0.71, NA, 0.7, 0.57	0.83	0.7	355.5	0.07, 0.17, 0.07, 0.1, 0, 0.13, 0.24	0.11	0.4	1.06	0.1	0.84	NA	NA	0e+00	50.53	106
km_euclidean_4	km	euclidean	dip_test	4	31	0.14	2.25e-07	NA	NA	254, 455, 410, 318	0	0.97, 1.06, 0.91, 0.92	0.65, 0.71, 0.58, 0.6	0.66, 0.72, 0.58, 0.6	0.72	0.64	301.89	0.03, -0.04, 0.14, 0.12	0.06	0.2	0.95	1.36	0.89	NA	NA	1.01e-14	50.44	107
pam_euclidean_11	pam	euclidean	dip_test	11	43	0.01	9.94e-01	NA	NA	162, 144, 47, 123, 128, 243, 94, 205, 67, 149, 75	0	0.85, 1.06, 0.84, 0.94, 0.85, 0.99, 0.83, 0.96, 0.86, 0.86, 0.85	0.56, 0.78, 0.54, 0.66, 0.55, 0.64, 0.57, 0.62, 0.59, 0.58, 0.56	0.56, 0.78, 0.53, 0.66, 0.55, 0.65, 0.57, 0.63, 0.59, 0.58, 0.56	0.71	0.62	279.24	0.01, -0.11, 0.2, -0.05, 0.03, -0.02, 0.07, -0.01, 0.06, 0.06, 0.13	0.03	0.23	0.74	2.3	0.87	NA	NA	4.33e-52	50.27	108
pam_minkowski_11	pam	minkowski	dip_test	11	43	0.01	9.94e-01	NA	NA	162, 144, 47, 123, 128, 243, 94, 205, 67, 149, 75	0	0.85, 1.06, 0.84, 0.94, 0.85, 0.99, 0.83, 0.96, 0.86, 0.86, 0.85	0.56, 0.78, 0.54, 0.66, 0.55, 0.64, 0.57, 0.62, 0.59, 0.58, 0.56	0.56, 0.78, 0.53, 0.66, 0.55, 0.65, 0.57, 0.63, 0.59, 0.58, 0.56	0.71	0.62	279.24	0.01, -0.11, 0.2, -0.05, 0.03, -0.02, 0.07, -0.01, 0.06, 0.06, 0.13	0.03	0.23	0.74	2.3	0.87	NA	NA	4.33e-52	50.27	108
pam_manhattan_11	pam	manhattan	dip_test	11	42	0.02	8.13e-01	NA	NA	66, 161, 141, 352, 117, 116, 92, 118, 65, 64, 145	0	0.84, 1.06, 0.85, 1, 0.84, 0.97, 0.83, 0.88, 0.79, 0.85, 0.82	0.61, 0.78, 0.54, 0.66, 0.55, 0.66, 0.55, 0.6, 0.58, 0.55, 0.55	0.61, 0.79, 0.54, 0.67, 0.55, 0.66, 0.55, 0.6, 0.58, 0.55, 0.55	0.71	0.62	282.47	0.02, -0.09, 0.03, -0.06, 0.02, -0.06, 0.07, 0.03, 0.06, 0.15, 0.1	0.02	0.23	0.72	2.26	0.87	NA	NA	6.47e-101	50.17	110
pam_manhattan_6	pam	manhattan	dip_test	6	34	0.05	1.58e-02	NA	NA	201, 572, 214, 183, 87, 180	0	0.88, 1.06, 0.97, 0.83, 0.86, 0.89	0.58, 0.69, 0.67, 0.56, 0.58, 0.59	0.58, 0.69, 0.67, 0.56, 0.58, 0.59	0.71	0.64	298.09	0.03, -0.04, -0.03, 0.06, 0.14, 0.11	0.04	0.26	0.87	1.62	0.89	NA	NA	1.69e-126	50.12	111
hc_manhattan_4	hc	manhattan	dip_test	4	49	0.2	1.01e-02	NA	NA	1430, 3, 3, 1	0	1.11, 0.61, 0.56, NA	0.7, 0.59, 0.54, NaN	0.71, 0.59, 0.55, NA	0.76	0.7	359.55	0.02, 0.1, 0.19, 0	0.08	0.37	0.94	0.04	0.92	NA	NA	0e+00	50.1	112
hc_manhattan_5	hc	manhattan	dip_test	5	48	0.28	2.32e-03	NA	NA	1426, 3, 3, 1, 4	0	1.11, 0.61, 0.56, NA, 0.7	0.7, 0.59, 0.54, NaN, 0.6	0.71, 0.59, 0.55, NA, 0.6	0.75	0.7	358.89	-0.02, 0.1, 0.19, 0, 0.15	0.08	0.37	0.94	0.05	0.93	NA	NA	0e+00	50.08	113
hc_canberra_7	hc	canberra	dip_test	7	45	0.28	2.81e-01	NA	NA	1394, 4, 32, 2, 2, 1, 2	0	1.11, 0.79, 0.91, 0.71, 0.64, NA, 0.57	0.7, 0.69, 0.68, 0.71, 0.64, NaN, 0.57	0.7, 0.69, 0.68, 0.71, 0.64, NA, 0.57	0.8	0.7	352.88	0.06, 0.16, 0.05, 0.1, 0.12, 0, 0.24	0.1	0.32	1.03	0.16	0.87	NA	NA	0e+00	50.08	114
pam_manhattan_4	pam	manhattan	dip_test	4	34	0.07	4.45e-04	NA	NA	474, 647, 203, 113	0	0.97, 1.06, 0.93, 0.88	0.6, 0.71, 0.61, 0.61	0.6, 0.71, 0.61, 0.61	0.72	0.65	310.57	0.12, -0.04, 0.09, 0.11	0.07	0.28	0.98	1.2	0.9	NA	NA	6.87e-109	50.03	115
hc_euclidean_3	hc	euclidean	dip_test	3	49	0.4	1.87e-08	NA	NA	1429, 7, 1	0	1.11, 0.74, NA	0.7, 0.63, NaN	0.71, 0.64, NA	0.76	0.7	359.86	0.03, 0.11, 0	0.05	0.37	1.02	0.04	0.93	NA	NA	0e+00	49.99	116
hc_minkowski_3	hc	minkowski	dip_test	3	49	0.4	1.87e-08	NA	NA	1429, 7, 1	0	1.11, 0.74, NA	0.7, 0.63, NaN	0.71, 0.64, NA	0.76	0.7	359.86	0.03, 0.11, 0	0.05	0.37	1.02	0.04	0.93	NA	NA	0e+00	49.99	116
hc_maximum_4	hc	maximum	dip_test	4	51	0.9	2.27e-06	NA	NA	1398, 37, 1, 1	0	1.11, 0.89, NA, NA	0.7, 0.59, NaN, NaN	0.71, 0.59, NA, NA	0.69	0.7	358.58	-0.05, 0, 0, 0	-0.01	0.29	0.87	0.13	1.01	NA	NA	0e+00	49.87	118
hc_binary_5	hc	binary	dip_test	5	49	0.08	3.67e-01	NA	NA	1416, 7, 11, 1, 2	0	1.11, 0.93, 0.91, NA, 0.57	0.7, 0.77, 0.74, NaN, 0.57	0.7, 0.77, 0.77, NA, 0.57	0.83	0.7	356.77	0.08, 0.07, 0.04, 0, 0.27	0.09	0.4	1	0.09	0.84	NA	NA	0e+00	49.64	119
hc_spearman_9	hc	spearman	dip_test	9	48	0.2	2.81e-01	NA	NA	1410, 11, 4, 1, 2, 3, 1, 4, 1	0	1.11, 0.74, 0.87, NA, 0.71, 0.73, NA, 0.75, NA	0.7, 0.58, 0.7, NaN, 0.71, 0.7, NaN, 0.62, NaN	0.7, 0.57, 0.66, NA, 0.71, 0.71, NA, 0.61, NA	0.8	0.7	354.51	0.03, 0.22, 0.1, 0, 0.1, 0.08, 0, 0.19, 0	0.08	0.4	1.06	0.13	0.88	NA	NA	0e+00	49.49	120
pam_canberra_5	pam	canberra	dip_test	5	24	0.08	2.47e-04	NA	NA	194, 112, 545, 383, 203	0	1, 1.03, 1.01, 1.03, 0.9	0.65, 0.63, 0.62, 0.64, 0.62	0.66, 0.63, 0.62, 0.64, 0.62	0.73	0.63	290.88	0.05, 0.11, 0.09, 0.04, 0.08	0.07	0.24	1.03	1.47	0.87	NA	NA	1.17e-90	49.49	121
hc_canberra_6	hc	canberra	dip_test	6	49	0.11	4.68e-01	NA	NA	1396, 5, 3, 2, 30, 1	0	1.11, 0.79, 0.65, 0.71, 0.9, NA	0.7, 0.69, 0.65, 0.71, 0.67, NaN	0.7, 0.69, 0.65, 0.71, 0.68, NA	0.8	0.7	353.34	0.09, 0.17, 0.14, 0.11, 0.09, 0	0.1	0.32	1.06	0.16	0.87	NA	NA	0e+00	48.91	122
hc_manhattan_6	hc	manhattan	dip_test	6	48	0.18	1.55e-01	NA	NA	6, 1419, 3, 4, 1, 4	0	0.75, 1.11, 0.61, 0.65, NA, 0.7	0.62, 0.7, 0.59, 0.57, NaN, 0.6	0.64, 0.7, 0.59, 0.56, NA, 0.6	0.76	0.7	357.76	0.12, -0.02, 0.12, 0.14, 0, 0.16	0.09	0.36	0.97	0.09	0.93	NA	NA	0e+00	48.89	123
hc_manhattan_3	hc	manhattan	dip_test	3	49	0.26	4.45e-04	NA	NA	1430, 6, 1	0	1.11, 0.74, NA	0.7, 0.62, NaN	0.71, 0.61, NA	0.76	0.7	359.89	0.03, 0.13, 0	0.05	0.37	1.03	0.03	0.92	NA	NA	0e+00	48.49	124
hc_euclidean_4	hc	euclidean	dip_test	4	49	0.25	1.36e-03	NA	NA	1429, 2, 5, 1	0	1.11, 0.57, 0.68, NA	0.7, 0.57, 0.61, NaN	0.71, 0.57, 0.63, NA	0.76	0.7	359.56	0.02, 0.13, 0.07, 0	0.05	0.37	0.94	0.04	0.93	NA	NA	0e+00	48.44	125
hc_minkowski_4	hc	minkowski	dip_test	4	49	0.25	1.36e-03	NA	NA	1429, 2, 5, 1	0	1.11, 0.57, 0.68, NA	0.7, 0.57, 0.61, NaN	0.71, 0.57, 0.63, NA	0.76	0.7	359.56	0.02, 0.13, 0.07, 0	0.05	0.37	0.94	0.04	0.93	NA	NA	0e+00	48.44	125
hc_canberra_5	hc	canberra	dip_test	5	49	0.15	5.81e-01	NA	NA	1394, 5, 35, 2, 1	0	1.11, 0.79, 0.92, 0.71, NA	0.7, 0.69, 0.69, 0.71, NaN	0.7, 0.69, 0.7, 0.71, NA	0.8	0.7	353.76	0.09, 0.17, 0.12, 0.11, 0	0.1	0.32	1.11	0.15	0.87	NA	NA	0e+00	48.14	127
hc_pearson_12	hc	pearson	dip_test	12	28	0.94	3.86e-03	NA	NA	1403, 2, 3, 1, 12, 4, 4, 1, 1, 4, 1, 1	0	1.11, 0.71, 0.72, NA, 0.84, 0.79, 0.78, NA, NA, 0.75, NA, NA	0.7, 0.71, 0.69, NaN, 0.65, 0.7, 0.7, NaN, NaN, 0.62, NaN, NaN	0.7, 0.71, 0.71, NA, 0.64, 0.72, 0.7, NA, NA, 0.61, NA, NA	0.82	0.7	352.06	0.04, 0.15, 0.11, 0, 0.13, 0.08, 0.04, 0, 0, 0.19, 0, 0	0.06	0.41	1.07	0.16	0.85	NA	NA	0e+00	47.01	128
hc_spearman_6	hc	spearman	dip_test	6	48	0.18	5.81e-01	NA	NA	1427, 2, 2, 1, 4, 1	0	1.11, 0.79, 0.71, NA, 0.75, NA	0.7, 0.79, 0.71, NaN, 0.62, NaN	0.7, 0.79, 0.71, NA, 0.61, NA	0.83	0.7	357.91	0.08, 0.04, 0.12, 0, 0.25, 0	0.08	0.41	1.03	0.05	0.84	NA	NA	0e+00	46.99	129
hc_spearman_15	hc	spearman	dip_test	15	28	0.21	1.55e-01	NA	NA	783, 11, 21, 589, 1, 2, 16, 1, 2, 1, 1, 3, 4, 1, 1	0	1.01, 0.74, 0.81, 0.97, NA, 0.71, 0.9, NA, 0.64, NA, NA, 0.75, 0.75, NA, NA	0.66, 0.58, 0.63, 0.64, NaN, 0.71, 0.7, NaN, 0.64, NaN, NaN, 0.64, 0.62, NaN, NaN	0.66, 0.57, 0.63, 0.64, NA, 0.71, 0.71, NA, 0.64, NA, NA, 0.61, 0.61, NA, NA	0.75	0.65	305.87	0.02, 0.11, 0.06, 0.09, 0, 0.08, 0.06, 0, 0.1, 0, 0, 0.1, 0.15, 0, 0	0.05	0.38	0.94	0.92	0.87	NA	NA	0e+00	46.96	130
hc_binary_8	hc	binary	dip_test	8	45	0.15	5.81e-01	NA	NA	1413, 5, 5, 2, 3, 1, 6, 2	0	1.11, 0.79, 0.87, 0.71, 0.65, NA, 0.84, 0.57	0.7, 0.69, 0.69, 0.71, 0.64, NaN, 0.68, 0.57	0.7, 0.69, 0.67, 0.71, 0.64, NA, 0.7, 0.57	0.82	0.7	354.86	0.05, 0.12, 0.07, 0.08, 0.12, 0, 0.08, 0.24	0.1	0.4	1.05	0.12	0.85	NA	NA	0e+00	46.37	131
pam_canberra_4	pam	canberra	dip_test	4	24	0.11	1.07e-06	NA	NA	247, 122, 632, 436	0	1, 1.03, 1.03, 1.03	0.67, 0.64, 0.64, 0.64	0.67, 0.64, 0.64, 0.64	0.73	0.65	305.23	0.04, 0.1, 0.07, 0.11	0.08	0.24	1.05	1.24	0.88	NA	NA	1.11e-89	46.12	132
hc_binary_6	hc	binary	dip_test	6	49	0.08	8.13e-01	NA	NA	1416, 7, 5, 1, 6, 2	0	1.11, 0.93, 0.87, NA, 0.84, 0.57	0.7, 0.77, 0.69, NaN, 0.68, 0.57	0.7, 0.77, 0.67, NA, 0.7, 0.57	0.83	0.7	356.1	0.08, 0.07, 0.07, 0, 0.13, 0.25	0.1	0.4	0.97	0.1	0.84	NA	NA	0e+00	46.11	133
pam_manhattan_8	pam	manhattan	dip_test	8	25	0.04	7.83e-02	NA	NA	159, 583, 148, 117, 104, 69, 180, 77	0	0.88, 1.06, 0.97, 0.85, 0.83, 0.86, 0.86, 0.85	0.56, 0.7, 0.67, 0.55, 0.56, 0.59, 0.59, 0.56	0.56, 0.7, 0.67, 0.55, 0.56, 0.59, 0.59, 0.56	0.71	0.63	292.49	0.01, -0.05, -0.05, 0.03, 0.08, 0.06, 0.11, 0.13	0.04	0.26	0.82	1.8	0.88	NA	NA	5.25e-232	45.52	134
hc_euclidean_6	hc	euclidean	dip_test	6	48	0.13	1.55e-01	NA	NA	1426, 2, 3, 1, 1, 4	0	1.11, 0.57, 0.56, NA, NA, 0.7	0.7, 0.57, 0.54, NaN, NaN, 0.6	0.71, 0.57, 0.55, NA, NA, 0.6	0.75	0.7	358.71	-0.02, 0.04, 0.17, 0, 0, 0.15	0.06	0.37	0.85	0.06	0.93	NA	NA	0e+00	45.48	135
hc_minkowski_6	hc	minkowski	dip_test	6	48	0.13	1.55e-01	NA	NA	1426, 2, 3, 1, 1, 4	0	1.11, 0.57, 0.56, NA, NA, 0.7	0.7, 0.57, 0.54, NaN, NaN, 0.6	0.71, 0.57, 0.55, NA, NA, 0.6	0.75	0.7	358.71	-0.02, 0.04, 0.17, 0, 0, 0.15	0.06	0.37	0.85	0.06	0.93	NA	NA	0e+00	45.48	135
hc_manhattan_7	hc	manhattan	dip_test	7	45	0.15	3.67e-01	NA	NA	3, 1419, 3, 4, 3, 1, 4	0	0.64, 1.11, 0.61, 0.65, 0.55, NA, 0.7	0.57, 0.7, 0.59, 0.57, 0.54, NaN, 0.6	0.63, 0.7, 0.59, 0.56, 0.54, NA, 0.6	0.76	0.7	357.41	0.14, -0.03, 0.12, 0.14, 0.18, 0, 0.16	0.1	0.36	0.94	0.09	0.93	NA	NA	0e+00	45.36	137
hc_pearson_10	hc	pearson	dip_test	10	45	0.46	8.13e-01	NA	NA	1409, 2, 3, 1, 14, 1, 1, 4, 1, 1	0	1.11, 0.71, 0.72, NA, 0.86, NA, NA, 0.75, NA, NA	0.7, 0.71, 0.69, NaN, 0.68, NaN, NaN, 0.62, NaN, NaN	0.7, 0.71, 0.71, NA, 0.67, NA, NA, 0.61, NA, NA	0.82	0.7	353.74	0.05, 0.15, 0.11, 0, 0.12, 0, 0, 0.25, 0, 0	0.07	0.41	1.11	0.13	0.85	NA	NA	0e+00	45.32	138
pam_euclidean_10	pam	euclidean	dip_test	10	40	0.01	9.67e-01	NA	NA	159, 155, 469, 136, 129, 90, 68, 149, 78, 4	0	0.85, 1.06, 1, 0.94, 0.85, 0.85, 0.86, 0.86, 0.85, 0.65	0.56, 0.78, 0.65, 0.66, 0.55, 0.56, 0.59, 0.58, 0.57, 0.59	0.56, 0.78, 0.65, 0.66, 0.55, 0.56, 0.59, 0.58, 0.57, 0.59	0.71	0.63	289.05	0.01, -0.08, -0.03, -0.07, 0.02, 0.07, 0.06, 0.08, 0.12, 0.06	0.02	0.23	0.74	2.02	0.88	NA	NA	2.46e-202	45.14	139
pam_minkowski_10	pam	minkowski	dip_test	10	40	0.01	9.67e-01	NA	NA	159, 155, 469, 136, 129, 90, 68, 149, 78, 4	0	0.85, 1.06, 1, 0.94, 0.85, 0.85, 0.86, 0.86, 0.85, 0.65	0.56, 0.78, 0.65, 0.66, 0.55, 0.56, 0.59, 0.58, 0.57, 0.59	0.56, 0.78, 0.65, 0.66, 0.55, 0.56, 0.59, 0.58, 0.57, 0.59	0.71	0.63	289.05	0.01, -0.08, -0.03, -0.07, 0.02, 0.07, 0.06, 0.08, 0.12, 0.06	0.02	0.23	0.74	2.02	0.88	NA	NA	2.46e-202	45.14	139
hc_maximum_5	hc	maximum	dip_test	5	49	0.56	3.73e-05	NA	NA	1396, 37, 1, 2, 1	0	1.11, 0.89, NA, 0.69, NA	0.7, 0.59, NaN, 0.69, NaN	0.71, 0.59, NA, 0.69, NA	0.69	0.7	358.29	-0.06, -0.01, 0, -0.21, 0	-0.06	0.29	0.8	0.14	1.01	NA	NA	0e+00	45.02	141
pam_manhattan_9	pam	manhattan	dip_test	9	26	0.03	1.11e-01	NA	NA	175, 557, 131, 122, 94, 212, 67, 76, 3	0	0.85, 1.06, 0.97, 0.85, 0.83, 0.92, 0.86, 0.87, 0.66	0.57, 0.7, 0.66, 0.55, 0.55, 0.6, 0.58, 0.56, 0.63	0.57, 0.7, 0.66, 0.55, 0.55, 0.6, 0.59, 0.56, 0.66	0.71	0.63	292.38	0.01, -0.04, -0.05, 0.03, 0.08, 0.09, 0.06, 0.13, -0.03	0.03	0.26	0.82	1.82	0.88	NA	NA	2.62e-275	44.99	142
hc_manhattan_12	hc	manhattan	dip_test	12	45	0.22	2.81e-01	NA	NA	6, 1416, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2	0	0.75, 1.11, NA, NA, NA, 0.53, 0.49, NA, NA, 0.43, 0.55, 0.52	0.61, 0.7, NaN, NaN, NaN, 0.53, 0.49, NaN, NaN, 0.43, 0.55, 0.52	0.59, 0.7, NA, NA, NA, 0.53, 0.49, NA, NA, 0.43, 0.55, 0.52	0.75	0.7	356	0.03, -0.07, 0, 0, 0, 0.12, 0.16, 0, 0, 0.3, 0.13, 0.16	0.07	0.36	0.82	0.11	0.93	NA	NA	0e+00	44.5	143
pam_euclidean_6	pam	euclidean	dip_test	6	25	0.06	5.41e-02	NA	NA	371, 158, 430, 194, 191, 93	0	0.88, 1.06, 1, 0.97, 0.9, 0.86	0.58, 0.78, 0.65, 0.66, 0.6, 0.58	0.58, 0.78, 0.65, 0.67, 0.6, 0.58	0.72	0.64	298.31	0.1, -0.07, -0.01, -0.02, 0.08, 0.14	0.04	0.23	0.84	1.67	0.88	NA	NA	1.55e-75	44.37	144
pam_minkowski_6	pam	minkowski	dip_test	6	25	0.06	5.41e-02	NA	NA	371, 158, 430, 194, 191, 93	0	0.88, 1.06, 1, 0.97, 0.9, 0.86	0.58, 0.78, 0.65, 0.66, 0.6, 0.58	0.58, 0.78, 0.65, 0.67, 0.6, 0.58	0.72	0.64	298.31	0.1, -0.07, -0.01, -0.02, 0.08, 0.14	0.04	0.23	0.84	1.67	0.88	NA	NA	1.55e-75	44.37	144
hc_pearson_11	hc	pearson	dip_test	11	41	0.37	4.68e-01	NA	NA	1405, 2, 3, 1, 14, 4, 1, 1, 4, 1, 1	0	1.11, 0.71, 0.72, NA, 0.86, 0.75, NA, NA, 0.75, NA, NA	0.7, 0.71, 0.69, NaN, 0.68, 0.67, NaN, NaN, 0.62, NaN, NaN	0.7, 0.71, 0.71, NA, 0.67, 0.66, NA, NA, 0.61, NA, NA	0.81	0.7	352.96	0.04, 0.14, 0.11, 0, 0.1, 0.06, 0, 0, 0.19, 0, 0	0.06	0.41	1.09	0.15	0.86	NA	NA	0e+00	44.14	146
hc_maximum_3	hc	maximum	dip_test	3	45	0.66	4.54e-31	NA	NA	1435, 1, 1	0	1.11, NA, NA	0.7, NaN, NaN	0.71, NA, NA	0.71	0.7	360.74	-0.03, 0, 0	-0.01	0.37	0.91	0.01	0.99	NA	NA	0e+00	44.06	147
hc_manhattan_13	hc	manhattan	dip_test	13	45	0.19	2.11e-01	NA	NA	6, 1387, 29, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2	0	0.75, 1.11, 0.73, NA, NA, NA, 0.53, 0.49, NA, NA, 0.43, 0.55, 0.52	0.61, 0.7, 0.57, NaN, NaN, NaN, 0.53, 0.49, NaN, NaN, 0.43, 0.55, 0.52	0.59, 0.7, 0.57, NA, NA, NA, 0.53, 0.49, NA, NA, 0.43, 0.55, 0.52	0.72	0.7	353.48	0.03, -0.08, 0.04, 0, 0, 0, 0.09, 0.16, 0, 0, 0.3, 0.13, 0.16	0.06	0.32	0.82	0.21	0.96	NA	NA	0e+00	43.21	148
hc_euclidean_9	hc	euclidean	dip_test	9	45	0.2	5.81e-01	NA	NA	5, 1417, 2, 2, 3, 1, 1, 2, 4	0	0.75, 1.11, 0.57, 0.57, 0.56, NA, NA, 0.43, 0.7	0.61, 0.7, 0.57, 0.57, 0.54, NaN, NaN, 0.43, 0.6	0.61, 0.7, 0.57, 0.57, 0.55, NA, NA, 0.43, 0.6	0.76	0.7	356.72	0.07, -0.04, 0.08, 0.04, 0.15, 0, 0, 0.33, 0.15	0.09	0.37	0.85	0.1	0.92	NA	NA	0e+00	43.16	149
hc_minkowski_9	hc	minkowski	dip_test	9	45	0.2	5.81e-01	NA	NA	5, 1417, 2, 2, 3, 1, 1, 2, 4	0	0.75, 1.11, 0.57, 0.57, 0.56, NA, NA, 0.43, 0.7	0.61, 0.7, 0.57, 0.57, 0.54, NaN, NaN, 0.43, 0.6	0.61, 0.7, 0.57, 0.57, 0.55, NA, NA, 0.43, 0.6	0.76	0.7	356.72	0.07, -0.04, 0.08, 0.04, 0.15, 0, 0, 0.33, 0.15	0.09	0.37	0.85	0.1	0.92	NA	NA	0e+00	43.16	149
hc_maximum_2	hc	maximum	dip_test	2	51	0.01	1.98e-02	NA	NA	1436, 1	0	1.11, NA	0.7, NaN	0.71, NA	0.73	0.7	360.98	0.03, 0	0.02	0.37	1.04	0.01	0.96	NA	NA	1.42e-313	43.16	151
