gene,control-XX,control-FB,control-BR,control-BC,control-BS,NC_pub,NC_pub,NC_pub,SRR4787052
ENSG00000242599_CSAG4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242600_MBL1P,0.01,0.07,0.18,0.21,0.08,0.00,0.09,0.00,0.77
ENSG00000242602_AC008953.1,0.00,0.10,0.00,0.00,0.00,26.75,94.88,5.94,0.30
ENSG00000242607_AC068587.1,0.00,0.16,0.36,0.56,0.22,0.00,1.98,0.04,1.46
ENSG00000242608_RPS23P5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242609_AC105265.2,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242610_OR5BH1P,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242611_AC093627.6,0.05,0.00,0.05,0.00,0.04,0.00,0.00,0.00,0.00
ENSG00000242612_DECR2,6.95,30.23,19.39,19.27,15.35,0.47,3.73,0.44,10.93
ENSG00000242613_AC063952.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242614_RN7SL164P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.97
ENSG00000242615_AC022415.1,2.22,1.24,0.95,3.89,1.80,2.25,5.19,1.42,3.18
ENSG00000242616_GNG10,24.60,19.03,27.57,30.65,22.63,4.41,18.91,22.91,10.99
ENSG00000242618_AC112219.1,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242622_AC092910.3,0.65,0.83,1.01,1.40,0.22,1.27,2.53,0.21,2.77
ENSG00000242628_AC009228.1,2.91,1.10,1.15,0.79,0.93,5.69,0.85,0.92,1.82
ENSG00000242634_RPS24P16,0.00,0.34,0.09,0.00,0.00,0.00,0.41,0.00,0.00
ENSG00000242635_RPS14P7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242636_RPL21P129,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00
ENSG00000242638_RN7SL294P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242640_RPS29P11,0.00,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242641_LINC00971,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00
ENSG00000242650_RN7SL292P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44
ENSG00000242651_RN7SL862P,0.00,0.00,0.00,0.00,0.00,0.38,7.53,2.24,0.00
ENSG00000242653_RN7SL132P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242654_RPL32P14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242657_RN7SL581P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242659_AC108693.2,0.00,0.44,0.30,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242660_AC015911.1,0.00,3.77,0.00,0.00,0.00,0.00,3.19,0.00,0.00
ENSG00000242661_RPS3AP43,0.09,0.30,0.22,0.17,0.00,0.16,0.77,0.58,0.38
ENSG00000242667_AC087385.2,0.12,0.05,0.17,0.08,0.00,0.00,0.00,0.00,0.14
ENSG00000242668_RN7SL317P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242670_RPL22P13,0.00,0.17,0.00,0.15,0.26,0.00,0.24,0.61,0.00
ENSG00000242671_LINC02010,0.00,0.00,0.19,2.51,1.05,0.00,0.00,0.00,0.00
ENSG00000242673_RN7SL167P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242675_RPS16P9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242683_RPL12P21,0.00,0.00,0.05,0.00,0.13,0.19,2.48,0.31,0.00
ENSG00000242686_AC107464.1,2.30,23.85,6.60,3.00,1.90,0.51,0.00,0.01,5.68
ENSG00000242687_AC004893.2,1.74,6.01,3.86,7.55,2.56,1.00,4.67,0.25,7.12
ENSG00000242688_RN7SL304P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242689_CNTF,3.40,0.19,0.32,1.52,2.70,0.09,0.50,0.48,0.57
ENSG00000242692_RPS27AP1,0.00,0.25,0.00,0.18,0.00,0.00,0.00,0.00,0.00
ENSG00000242696_RN7SL40P,0.00,0.00,0.23,0.16,0.00,0.00,0.00,0.00,0.26
ENSG00000242697_RPL5P12,0.35,0.92,0.27,0.38,0.06,0.00,0.57,0.54,0.47
ENSG00000242699_RN7SL516P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242703_CCT4P1,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.03
ENSG00000242705_ICE2P2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242706_RPS27AP9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242707_RN7SL362P,0.00,0.00,0.00,0.00,0.00,0.00,5.38,0.00,1.30
ENSG00000242709_RPL30P9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242715_CCDC169,0.49,1.28,0.60,0.40,0.29,0.28,0.00,0.00,1.52
ENSG00000242719_RN7SL806P,0.00,0.25,0.00,0.00,0.00,1.24,1.25,0.00,0.00
ENSG00000242727_AC104687.1,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242728_UQCRHP4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242729_AC021006.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242731_FAM86LP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242732_RTL5,9.10,28.84,30.51,42.12,21.87,0.20,0.06,0.08,5.33
ENSG00000242735_RPSAP26,0.74,0.54,0.81,1.54,0.20,0.00,0.00,0.00,2.20
ENSG00000242736_TRBV1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242737_AC012170.1,0.21,0.00,0.00,0.00,0.00,0.90,1.82,0.29,0.71
ENSG00000242741_LINC02005,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242747_AC090515.1,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242748_RPL23AP81,0.39,0.51,0.17,2.14,0.45,0.00,0.16,0.35,0.30
ENSG00000242752_NMTRQ-TTG12-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242753_AL445430.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242756_RHOT1P3,0.00,0.38,0.51,1.56,1.41,0.00,0.75,0.51,2.04
ENSG00000242757_AL606462.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242759_LINC00882,3.48,3.17,6.33,7.90,5.64,0.00,0.00,0.11,2.49
ENSG00000242764_RN7SL824P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242766_IGKV1D-17,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242767_ZBTB20-AS4,0.11,0.06,0.00,1.04,0.09,0.57,3.44,0.28,0.00
ENSG00000242768_AC096576.1,0.00,0.08,0.00,0.14,0.00,0.00,0.00,0.00,1.41
ENSG00000242769_RN7SL432P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242770_AC092892.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242771_TRBV5-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242775_AC121764.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242779_ZNF702P,0.54,0.33,2.64,36.74,8.10,0.67,1.87,0.28,1.25
ENSG00000242781_LINC02050,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242790_AC104831.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242791_AC117395.3,0.00,0.09,0.23,1.03,0.00,0.00,0.21,0.00,0.27
ENSG00000242793_AC135999.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242794_RN7SL299P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242795_AC007849.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242797_GLYCTK-AS1,0.07,2.28,0.33,0.15,0.08,1.92,0.21,0.10,5.32
ENSG00000242798_AC073842.2,0.00,1.69,2.17,0.72,0.55,0.00,0.13,0.00,0.68
ENSG00000242802_AP5Z1,19.56,29.18,24.67,21.84,20.64,0.76,3.05,0.63,10.03
ENSG00000242807_AP002371.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17
ENSG00000242808_SOX2-OT,217.47,20.42,67.77,88.21,113.16,0.00,0.30,0.05,33.43
ENSG00000242810_MRPL42P6,0.00,0.00,0.00,0.00,0.00,0.58,3.49,1.41,0.22
ENSG00000242811_RN7SL229P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242814_AC113398.1,0.27,4.95,0.00,0.11,1.33,0.99,6.27,6.52,0.19
ENSG00000242816_AC092691.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242818_RN7SL846P,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.71
ENSG00000242828_AC068756.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242829_RPS26P21,0.00,0.00,0.00,0.15,0.00,0.31,18.21,1.22,1.00
ENSG00000242834_RPL7AP56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242836_MTCO3P35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23
ENSG00000242837_RPL21P13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242841_KRT8P35,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242849_ALDOAP1,0.00,0.02,0.06,0.06,0.05,0.00,0.06,0.00,0.00
ENSG00000242850_RPL23AP68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242852_ZNF709,0.72,1.25,1.28,3.67,1.29,0.67,3.97,0.77,4.51
ENSG00000242853_RN7SL749P,0.00,0.00,0.17,0.00,0.00,0.00,0.90,0.26,3.60
ENSG00000242854_DNM1P24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242855_RN7SL496P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242856_VN1R105P,0.00,0.00,0.00,0.07,0.00,0.00,1.11,0.00,0.00
ENSG00000242858_AC020899.1,0.00,0.23,0.00,0.00,0.00,0.49,0.00,0.22,0.00
ENSG00000242860_RN7SL180P,0.00,0.00,0.00,0.00,1.10,0.00,0.00,0.00,0.35
ENSG00000242861_AL591895.1,8.48,1.51,9.32,2.55,5.33,15.35,7.10,3.25,0.50
ENSG00000242863_RN7SL677P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242865_RN7SL244P,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.32
ENSG00000242866_STRC,1.55,2.24,7.65,32.02,7.55,0.18,0.16,0.03,1.27
ENSG00000242875_RBMY1B,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242876_RN7SL812P,0.00,0.39,0.37,0.00,0.00,0.00,1.27,0.00,0.39
ENSG00000242879_AC006335.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242880_AC046136.1,0.10,0.00,0.10,0.00,0.12,0.00,0.00,0.00,0.13
ENSG00000242882_RPL5P11,0.00,0.15,0.08,0.33,0.12,0.22,2.38,1.73,0.06
ENSG00000242887_IGHJ3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242888_AL133368.1,0.00,0.12,0.00,0.04,0.00,0.00,0.61,0.00,0.07
ENSG00000242889_RN7SL449P,0.00,0.12,0.00,0.00,0.39,0.00,0.00,0.00,4.46
ENSG00000242893_RN7SL413P,0.00,0.00,0.00,0.00,0.00,3.85,4.07,0.00,0.34
ENSG00000242894_RN7SL634P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.35
ENSG00000242899_RPL7P16,0.23,0.16,0.00,0.05,0.00,0.00,0.19,0.00,0.00
ENSG00000242902_FLNC-AS1,0.00,0.12,0.14,1.23,0.23,0.00,0.00,0.00,0.00
ENSG00000242908_AADACL2-AS1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
ENSG00000242911_AC140059.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242912_RN7SL384P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242915_SNRPGP7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242922_RPL21P104,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242925_PLCH1-AS2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242928_RN7SL868P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00
ENSG00000242931_RPL7P49,0.00,0.06,0.07,0.05,0.00,0.00,2.35,0.04,2.13
ENSG00000242936_RPL30P6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242941_RPL12P7,0.41,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00
ENSG00000242943_NKAIN1P1,0.05,0.07,0.36,0.13,0.43,0.00,0.00,0.00,0.00
ENSG00000242945_AC015524.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242948_EPS15P1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242950_ERVW-1,0.11,0.30,0.19,0.91,0.69,0.32,2.86,0.53,0.11
ENSG00000242951_AC007182.2,1.84,22.35,0.31,1.35,6.82,3.02,0.52,3.52,0.77
ENSG00000242952_RPSAP3,0.00,0.33,0.10,0.00,0.00,0.00,0.16,0.07,0.26
ENSG00000242953_AC139453.2,0.00,1.59,0.00,0.00,0.00,0.00,0.00,0.48,0.00
ENSG00000242958_AC040975.1,0.00,0.00,0.00,0.00,0.00,1.42,1.61,0.12,0.00
ENSG00000242960_FTH1P23,6.88,35.50,0.94,2.31,26.13,0.00,0.26,0.33,0.66
ENSG00000242963_AC026336.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242968_AC096992.1,0.00,0.00,0.07,0.10,0.00,0.00,0.00,0.00,0.00
ENSG00000242970_AC068522.1,0.00,0.81,0.39,0.00,0.00,0.00,1.70,0.70,2.03
ENSG00000242971_RN7SL233P,0.59,0.00,0.00,0.00,0.00,1.27,1.28,1.24,0.00
ENSG00000242973_AL591242.1,0.00,0.00,0.00,1.54,0.00,0.00,0.00,0.00,0.22
ENSG00000242976_RN7SL177P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.69
ENSG00000242978_AC004534.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242979_AC010285.1,0.00,0.00,0.09,0.00,0.00,0.00,0.41,0.26,1.21
ENSG00000242983_CABYRP1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
ENSG00000242985_RN7SL50P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242986_RPL21P99,0.00,0.06,0.08,0.00,0.00,0.00,0.00,0.00,0.89
ENSG00000242989_RN7SL332P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242990_RPL13AP23,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242991_RPL7P40,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00
ENSG00000242992_FTH1P4,0.00,0.28,0.16,0.00,0.00,0.00,1.96,0.00,0.00
ENSG00000242993_AP000870.1,0.00,0.00,0.00,0.23,0.00,0.00,0.39,0.00,0.00
ENSG00000242995_AL161757.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242998_RN7SL379P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000242999_RN7SL239P,0.64,0.00,0.15,0.00,0.00,0.00,6.89,0.12,5.02
ENSG00000243004_AC005062.1,58.98,39.72,8.24,123.54,17.57,0.18,0.27,1.65,0.40
ENSG00000243005_RN7SL16P,0.00,0.00,0.00,0.00,0.00,0.00,8.32,0.00,3.42
ENSG00000243007_RPL12P35,0.00,0.05,0.00,0.00,0.14,0.00,0.35,0.46,0.22
ENSG00000243008_AL359538.1,0.00,0.23,0.04,0.06,0.14,0.00,0.00,0.00,0.42
ENSG00000243011_RN7SL266P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243012_LINC02083,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243014_PTMAP8,0.72,0.72,0.82,0.00,0.27,0.00,0.00,0.10,0.00
ENSG00000243015_RN7SL737P,0.49,0.79,2.26,2.38,2.06,0.14,0.28,0.25,4.33
ENSG00000243016_AC112482.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09
ENSG00000243018_AC005486.1,0.00,0.00,0.00,1.03,0.89,0.00,0.00,0.00,0.00
ENSG00000243020_RPL7P39,0.00,0.24,0.10,0.00,0.00,0.00,0.77,0.17,0.00
ENSG00000243022_MARK3P3,0.00,0.00,0.00,0.05,0.00,0.26,0.50,0.00,0.00
ENSG00000243023_UBA52P3,0.19,0.00,0.36,0.50,0.00,0.00,1.89,1.81,0.21
ENSG00000243024_AC012158.1,2.21,0.39,2.16,2.04,1.20,0.00,0.05,0.00,0.35
ENSG00000243025_MTAPP1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243027_RN7SL354P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243029_RN7SL635P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243033_GAPDHP47,0.00,0.00,0.00,0.00,0.00,2.59,8.04,2.01,0.22
ENSG00000243035_RN7SL810P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243038_AL117692.1,0.00,0.00,0.00,0.00,0.00,0.27,0.10,0.00,0.00
ENSG00000243040_RBMY2FP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243044_AC128716.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243048_FTH1P18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243049_RN7SL33P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243050_RPL30P10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243051_RN7SL269P,0.00,0.43,0.00,0.20,0.00,0.00,1.12,0.00,0.65
ENSG00000243053_RPL31P58,0.00,0.00,0.00,0.13,0.00,7.60,0.42,0.00,0.00
ENSG00000243055_GK-AS1,0.00,0.10,0.16,0.33,0.00,0.30,2.02,1.35,0.10
ENSG00000243056_EIF4EBP3,11.10,4.10,9.24,6.56,15.65,1.28,1.25,1.00,0.20
ENSG00000243058_AC015724.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243059_RN7SL400P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243062_AL359853.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243063_IGKV3-7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243064_ABCC13,0.03,0.02,0.01,0.00,0.00,0.43,0.58,0.14,0.09
ENSG00000243066_RN7SL842P,0.00,0.00,0.00,0.00,0.00,0.00,1.15,0.00,0.00
ENSG00000243069_ARHGEF26-AS1,5.59,5.97,6.51,18.75,6.02,0.00,0.00,0.00,8.29
ENSG00000243071_AC107032.1,0.00,2.28,0.09,0.88,0.00,0.00,0.00,0.02,0.00
ENSG00000243072_AF186996.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243073_PRAMEF4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243075_RN7SL519P,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.00
ENSG00000243081_AC092894.1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00
ENSG00000243083_LINC00870,0.36,0.05,0.19,0.04,0.02,0.00,0.02,0.00,0.12
ENSG00000243085_AL390726.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243089_AC107029.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243094_AC079203.1,0.00,0.19,0.41,0.00,0.19,0.00,1.96,0.93,0.00
ENSG00000243095_RPL3P10,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00
ENSG00000243099_AC020983.1,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243101_RPS3P7,0.00,0.00,0.00,0.09,0.16,0.00,0.00,0.09,1.32
ENSG00000243103_RN7SL452P,0.00,0.00,0.00,0.00,0.00,0.00,1.49,0.00,0.36
ENSG00000243104_MTND4LP14,0.00,0.12,0.34,0.45,0.00,0.00,1.21,0.00,0.00
ENSG00000243107_AC000120.1,0.08,0.05,0.64,0.32,0.10,3.91,4.57,0.20,2.69
ENSG00000243115_RN7SL849P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243116_AC092943.1,0.00,0.06,0.08,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243122_AC016304.1,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243124_RN7SL643P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243125_RN7SL807P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243129_AC023790.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243130_PSG11,0.00,0.33,0.02,0.07,0.00,0.00,0.00,0.00,0.06
ENSG00000243135_UGT1A3,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243136_RN7SL22P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243137_PSG4,0.00,0.78,0.07,0.00,0.00,0.00,0.00,0.00,0.13
ENSG00000243141_RPL23AP66,0.00,0.05,0.06,0.00,0.00,0.00,0.48,0.00,0.00
ENSG00000243144_AC079760.2,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243147_MRPL33,87.49,86.49,101.44,157.70,81.07,3.90,8.71,8.35,26.49
ENSG00000243149_LINC02040,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00
ENSG00000243150_AC106707.1,0.00,0.01,0.00,0.09,0.00,0.00,0.00,0.00,0.00
ENSG00000243154_SYPL1P1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243155_AL162431.2,0.33,1.73,1.09,1.10,0.68,0.00,0.49,0.01,1.61
ENSG00000243156_MICAL3,14.33,62.62,53.03,76.71,32.77,1.51,10.21,0.72,87.87
ENSG00000243160_AC093270.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243164_AC087879.1,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00
ENSG00000243165_AC025033.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243167_RPS10P28,0.05,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.55
ENSG00000243171_AC041039.1,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00
ENSG00000243173_RN7SL861P,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243175_RPSAP36,0.11,0.09,0.08,0.11,0.08,1.62,1.55,0.17,1.18
ENSG00000243176_AC092944.1,0.18,0.33,0.45,0.43,0.13,1.11,0.16,0.18,0.37
ENSG00000243179_AC110769.1,0.00,0.00,0.00,0.00,0.00,0.12,0.35,0.00,0.21
ENSG00000243181_AC087343.1,0.00,0.30,0.12,0.10,0.00,0.00,0.00,0.25,0.15
ENSG00000243187_CCDC39-AS1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243188_HNRNPA1P17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
ENSG00000243193_AC006387.1,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.40
ENSG00000243195_TUBBP11,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00
ENSG00000243197_TUSC7,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09
ENSG00000243199_AC115223.1,27.83,46.45,10.30,33.74,16.40,0.16,13.96,5.32,11.93
ENSG00000243207_PPAN-P2RY11,0.04,0.26,0.00,0.20,0.00,0.00,0.00,0.00,0.00
ENSG00000243220_AC006159.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243224_AC006252.1,0.16,0.07,0.24,0.11,0.10,0.09,0.79,0.00,0.36
ENSG00000243225_AC007686.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243227_RN7SL55P,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.00,0.34
ENSG00000243230_AC011005.4,0.00,0.84,0.31,0.44,0.24,1.80,0.00,0.00,0.00
ENSG00000243232_PCDHAC2,1.06,15.36,14.38,17.11,4.64,0.00,0.07,0.00,23.02
ENSG00000243234_AC010326.1,0.17,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.32
ENSG00000243236_GSTA9P,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00
ENSG00000243238_IGKV2-30,1.34,0.68,0.79,0.85,0.41,0.00,0.00,0.00,0.00
ENSG00000243243_AC073130.2,0.00,0.00,0.00,0.00,0.00,0.67,1.17,0.14,0.11
ENSG00000243244_STON1,0.80,1.59,1.57,11.78,8.38,0.08,0.08,0.00,2.50
ENSG00000243250_AP002884.1,0.00,0.00,0.00,0.22,0.00,0.00,0.32,0.00,0.00
ENSG00000243254_RN7SL350P,0.00,0.00,0.00,0.00,0.00,6.49,3.17,1.49,0.00
ENSG00000243256_RPL30P14,0.00,0.92,0.00,0.00,0.51,0.31,0.00,0.00,0.00
ENSG00000243257_MTCO2P29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENSG00000243260_RN7SL558P,0.00,0.00,0.15,0.00,0.00,0.38,8.07,0.74,4.05
ENSG00000243264_IGKV2D-29,9743.15,0.21,0.61,0.36,0.00,0.00,0.00,0.00,0.00
ENSG00000243265_RPL23AP55,0.00,0.05,0.00,0.19,0.00,0.00,1.20,0.66,0.00
